"name","current employee estimate","city","state"
"bayer healthcare",12558,"berlin","berlin"
"zalando se",3389,"berlin","berlin"
"deutsche bahn",2845,"berlin","berlin"
"springer nature",2541,"berlin","berlin"
"biotronik",1999,"berlin","berlin"
"charité",1733,"berlin","berlin"
"freie universität berlin",1531,"berlin","berlin"
"humboldt-universität zu berlin",1260,"berlin","berlin"
"axel springer se",1178,"berlin","berlin"
"hellofresh",1113,"berlin","berlin"
"kpmg deutschland",1002,"berlin","berlin"
"iav gmbh",832,"berlin","berlin"
"atotech group",802,"berlin","berlin"
"technische universität berlin",778,"berlin","berlin"
"foodpanda",692,"berlin","berlin"
"auto1",667,"berlin","berlin"
"!k7 records",655,"berlin","berlin"
"rocket internet se",596,"berlin","berlin"
"stepstone",575,"berlin","berlin"
"db engineering & consulting gmbh",574,"berlin","berlin"
"foodora",567,"berlin","berlin"
"airberlin",545,"berlin","berlin"
"system one",525,"berlin","berlin"
"ohne",518,"berlin","berlin"
"steuerberater",498,"berlin","berlin"
"bundeswehr wir. dienen. deutschland.",448,"berlin","berlin"
"delivery hero",419,"berlin","berlin"
"soundcloud",407,"berlin","berlin"
"storck",388,"berlin","berlin"
"native instruments",362,"berlin","berlin"
"lufthansa intouch",341,"berlin","berlin"
"babbel",324,"berlin","berlin"
"max delbrück center",316,"berlin","berlin"
"architect / interior designer",313,"berlin","berlin"
"cms hasche sigle",304,"berlin","berlin"
"victoria",283,"berlin","berlin"
"ovb vermögensberatung ag",279,"berlin","berlin"
"idealo internet gmbh",276,"berlin","berlin"
"getyourguide",272,"berlin","berlin"
"immobilienscout24",269,"berlin","berlin"
"bosch software innovations",268,"berlin","berlin"
"climate-kic",265,"berlin","berlin"
"home24 ag",252,"berlin","berlin"
"atheneum",247,"berlin","berlin"
"european youth parliament (eyp)",245,"berlin","berlin"
"n26 group",243,"berlin","berlin"
"n.n.",236,"berlin","berlin"
"germany trade & invest",233,"berlin","berlin"
"quandoo",231,"berlin","berlin"
"de gruyter",226,"berlin","berlin"
"ableton",226,"berlin","berlin"
"mobisol group",224,"berlin","berlin"
"bmg - the new music company",224,"berlin","berlin"
"bundesanstalt für materialforschung und -prüfung",221,"berlin","berlin"
"researchgate",220,"berlin","berlin"
"leonardo hotels",218,"berlin","berlin"
"goeuro",215,"berlin","berlin"
"weltn24 gmbh",213,"berlin","berlin"
"chiltern railways",211,"berlin","berlin"
"ver.di",202,"berlin","berlin"
"helmholtz zentrum berlin",202,"berlin","berlin"
"freiberufler",200,"berlin","berlin"
